"X..i..","source"
"hey you guys!👋 is this on january 7 or on july 1st (sorry for my english i am from the netherlands)","VS"
"What happens in July 1?","VS"
"Check out my model work at Facebook.com/journeytofame","VS"
"first okno","VS"
"first okno","VS"
"hey","VS"
"powers","VS"
"my self esteem fell off my ass","VS"
"Sportswear is my lingerie.  ♥","VS"
"omg can't wait xx","VS"
"yay!!!!","VS"
"This years biggest sporting event lol, not like there's the Summer Olympics or anything 😂😂","VS"
"Cool","VS"
"さいこ！","VS"
"1","VS"
"I love this company! If i could have anything for my birthday it would be a VS model.","VS"
"why someone hates Martha???  just a reason, plz","VS"
"Now watch, and learn, here's the deal: He'll slip and slide on this banana peel!

WHAT ARE YOU DOING","VS"
"i love Behati","VS"
"Can I get the pussy for free","VS"
"LOVE ALL OF THEM, I LIKE HOW VS ENCOURAGE PPL TO WORK OUT. PD: ALL OF THEM ARE BODY/FACES GOALSSSSS","VS"
"if you say any Victoria Secret model is plain, you have something wrong with your brain","VS"
"ELSA<3","VS"
"MUY LINDAS LAS MODELOS DE VICTORIA SECRET'S, LLEVEN A UNA DE ARGENTINA TAMBIEN PARA QUE PUEDAN APARECER EN EL VIDEO.","VS"
"The act like its a big deal but you already pay frickin 70 euros for a bra which is unbelievable","VS"
"theres no victorias secret shop in my country :'(","VS"
"I thought it was a good deal and took advantage of it! I just hope things fit me lol","VS"
"BEHATIIIII MY LOVEEEE","VS"
"Sara Sampaio dominates this clip even only appearing for 1/4 secs.","VS"
"Lindsay Ellingson come back, nobody equals, was is and will be the best by far. Lindsay miss you !!","VS"
"Behati Prinsloo is so beautiful !!!! Her face , hair and body ! ♡ I think she will wear the fantasy bra 2016 .","VS"
"Buy the bra, get the pants! But nooooo I won't buy the bra because I don't have 70 euros to spend for your braaaaaa! So thank you but no!","VS"
"Saraaaa lilyyyy ‼️‼️‼️😍🇮🇹💸💸💸","VS"
"what model is on 0:03?","VS"
"Sara is my favorite 😍😍😍","VS"
"I'm like buy both and get model free😂","VS"
"when i'm getting older, i want to be a victorias secret model. I have follow them on youtube, to get inspired. and i am 11 years old and from sweden 👍❤","VS"
"Ugh, I should have made my order earlier. By the time I went online to buy, everything in my size was sold out. It would be great if VS started doing back orders!","VS"
"I like it :D","VS"
"Elsa is my Queen .  <3","VS"
"i used to not like martha when she was first introduced as an angel but now i actually quite like her, especially after seeing what she can do as an angel, backstage at the vsfs, and her swarovski wings at the show. and in all the sport ads. she's perfect for the sport ads.","VS"
"Behati is definitely my favourite","VS"
"Behati it's SO overrated.","VS"
"WHEN DOES THE SALE END??","VS"
"OMG their all so damn pretty","VS"
"🌹🌸Behati is very nice and pretty😛😙❤👄💋🌷","VS"
"Why does everyone hate Martha? I love her I think she looks like a young Kate Moss. iconic.","VS"
"This literally sells out in 5 mins!!!!!!!!! MAKE ORE OR SOMETHING! Im soo pissed that whenever theres a deal theyre not fucking prepared for more costumers and the store phone is constantly busy. Great stuff, great clothes but the whole store itself is so aggrigating","VS"
"LA DEL 0:04 Y LA DEL 0:06 ME LAS PENETRO","VS"
"Sara Sampaio!!!! 😍","VS"
"Candice, where is she?","VS"
"Want more of Sara Sampaio. She is prettiest.❤❤","VS"
"BEHATIIIII","VS"
"why is Martha an angel? I don't understand it. And Stella... and Kate and Romee... they almost look all the same! Some different Looks would be nice! Why not an asian angel? Or more black Girls - the bright Colors look beautiful on them!","VS"
"hmm. sells must be down for their sportswears..since when do they give anything of their expensive wear away besides there huge free cheap panties that the like giveaway every now and then #NoShade","VS"
"martha seems so cool & fun!","VS"
"I want it in Amsterdam or the Hague plz BECAUSE THEN I CAN BUY SOMETHING FROM VS😭😭😭😭","VS"
"Because the bras are so expensive they are able to give a free pair of pants, which are probably very cheap and cost 1 dollar to make in China :)","VS"
"Just left the mall with my sports bra and pants 😀","VS"
"can I order it to Europe?","VS"
"Boa tarde pra vocês da Victrias""s Secret é obrigado por mandar este maravilhosos videos","VS"
"I love elsa's laugh😂❤️","VS"
"And does this apply to every Victoria's Secret store around the world? Till when?","VS"
"Jasmine, in my opinion, is the prettiest Angel in a while. Along with Lais and Taylor. I wish the industry wasn't racist, she could be doing so well (better than she already is).","VS"
"free sport, cun in nook Belgium","VS"
"I Love VS 💪❤💜","VS"
"behati so beautiful!! body goals","VS"
"Omg😍😍😍","VS"
"hot 😲","VS"
"Sara Sampaio Is the prettiest!!!!","VS"
"I want to be a Victoria secret angel toooo.......","VS"
"A Vicoria's Secret-body isn't included? 😃","VS"
"Yay","VS"
"that cool","VS"
"elsa Hosk 😍","VS"
"+victoria'ssecret","VS"
"really?","VS"
"wow","VS"
"Lily Aldridge 💋💞💋","VS"
"ly😘😘😘😘😘😘😘","VS"
"I live in England, how can I watch the swim special? Is it airing on any English Channel?","VS"
"Is this deal also online? There is no VS store close, and this deal is absoultly amaazing","VS"
"OH MY GOS TITS next time show vargina","VS"
