"source","word","n","total","freq"
"Vogue","vogue",248,315,0.787301587301587
"VS","victoria’s",100,148,0.675675675675676
"VS","secret",98,148,0.662162162162162
"Vogue","met",84,315,0.266666666666667
"Vogue","gala",82,315,0.26031746031746
"Vogue","beauty",61,315,0.193650793650794
"Vogue","secrets",47,315,0.149206349206349
"VS","2016",45,148,0.304054054054054
"VS","commercial",38,148,0.256756756756757
"Vogue","2018",36,315,0.114285714285714
"Vogue","koshy",33,315,0.104761904761905
"Vogue","liza",33,315,0.104761904761905
"Vogue","questions",31,315,0.0984126984126984
"Vogue","73",30,315,0.0952380952380952
"Vogue","fashion",30,315,0.0952380952380952
"Vogue","ready",28,315,0.0888888888888889
"VS","fashion",27,148,0.182432432432432
"Vogue","week",21,315,0.0666666666666667
"Vogue","2016",20,315,0.0634920634920635
"Vogue","supermodel",18,315,0.0571428571428571
"VS","angel",18,148,0.121621621621622
"VS","angels",18,148,0.121621621621622
"Vogue","guide",17,315,0.053968253968254
"Vogue","secret",17,315,0.053968253968254
"VS","runway",17,148,0.114864864864865
"VS","road",16,148,0.108108108108108
"Vogue","anna",14,315,0.0444444444444444
"Vogue","model",14,315,0.0444444444444444
"VS","sexy",14,148,0.0945945945945946
"Vogue","fall",13,315,0.0412698412698413
"Vogue","wintour",13,315,0.0412698412698413
"VS","tv",13,148,0.0878378378378378
"Vogue","inside",12,315,0.0380952380952381
"Vogue","jenner",12,315,0.0380952380952381
"Vogue","2017",11,315,0.0349206349206349
"Vogue","gigi",11,315,0.0349206349206349
"Vogue","hadid",11,315,0.0349206349206349
"Vogue","hot",11,315,0.0349206349206349
"Vogue","kendall",11,315,0.0349206349206349
"Vogue","paris",11,315,0.0349206349206349
"Vogue","skin",11,315,0.0349206349206349
"Vogue","takes",11,315,0.0349206349206349
"Vogue","victoria’s",11,315,0.0349206349206349
"VS","train",11,148,0.0743243243243243
"Vogue","hours",10,315,0.0317460317460317
"Vogue","york",10,315,0.0317460317460317
"Vogue","24",9,315,0.0285714285714286
"Vogue","girls",9,315,0.0285714285714286
"Vogue","jessica",9,315,0.0285714285714286
"Vogue","makeup",9,315,0.0285714285714286
"Vogue","sad",9,315,0.0285714285714286
"VS","bra",9,148,0.0608108108108108
"VS","love",9,148,0.0608108108108108
"Vogue","dress",8,315,0.0253968253968254
"Vogue","perfect",8,315,0.0253968253968254
"VS","episode",8,148,0.0540540540540541
"VS","sport",8,148,0.0540540540540541
"Vogue","ashley",7,315,0.0222222222222222
"Vogue","sarah",7,315,0.0222222222222222
"Vogue","taylor",7,315,0.0222222222222222
"Vogue","tour",7,315,0.0222222222222222
