"source","word","n","total","freq","tf","idf","tf_idf"
"Vogue","vogue",248,315,0.787301587301587,0.0996384089995982,0.693147180559945,0.0690640822735502
"VS","victoria’s",100,148,0.675675675675676,0.124223602484472,0,0
"VS","secret",98,148,0.662162162162162,0.121739130434783,0,0
"Vogue","met",84,315,0.266666666666667,0.0337484933708317,0.693147180559945,0.023392673028138
"Vogue","gala",82,315,0.26031746031746,0.0329449578143833,0.693147180559945,0.0228357046227061
"Vogue","beauty",61,315,0.193650793650794,0.0245078344716754,0.693147180559945,0.0169875363656716
"Vogue","secrets",47,315,0.149206349206349,0.0188830855765368,0.693147180559945,0.0130887575276486
"VS","2016",45,148,0.304054054054054,0.0559006211180124,0,0
"VS","commercial",38,148,0.256756756756757,0.0472049689440994,0.693147180559945,0.0327199911320223
"Vogue","2018",36,315,0.114285714285714,0.0144636400160707,0.693147180559945,0.0100254312977734
"Vogue","koshy",33,315,0.104761904761905,0.0132583366813982,0.693147180559945,0.00918997868962563
"Vogue","liza",33,315,0.104761904761905,0.0132583366813982,0.693147180559945,0.00918997868962563
"Vogue","questions",31,315,0.0984126984126984,0.0124548011249498,0.693147180559945,0.00863301028419377
"Vogue","73",30,315,0.0952380952380952,0.0120530333467256,0.693147180559945,0.00835452608147785
"Vogue","fashion",30,315,0.0952380952380952,0.0120530333467256,0,0
"Vogue","ready",28,315,0.0888888888888889,0.0112494977902772,0,0
"VS","fashion",27,148,0.182432432432432,0.0335403726708075,0,0
"Vogue","week",21,315,0.0666666666666667,0.00843712334270792,0.693147180559945,0.00584816825703449
"Vogue","2016",20,315,0.0634920634920635,0.00803535556448373,0,0
"Vogue","supermodel",18,315,0.0571428571428571,0.00723182000803536,0.693147180559945,0.00501271564888671
"VS","angel",18,148,0.121621621621622,0.022360248447205,0,0
"VS","angels",18,148,0.121621621621622,0.022360248447205,0,0
"Vogue","guide",17,315,0.053968253968254,0.00683005222981117,0.693147180559945,0.00473423144617078
"Vogue","secret",17,315,0.053968253968254,0.00683005222981117,0,0
"VS","runway",17,148,0.114864864864865,0.0211180124223602,0,0
"VS","road",16,148,0.108108108108108,0.0198757763975155,0.693147180559945,0.0137768383713778
"Vogue","anna",14,315,0.0444444444444444,0.00562474889513861,0.693147180559945,0.00389877883802299
"Vogue","model",14,315,0.0444444444444444,0.00562474889513861,0.693147180559945,0.00389877883802299
"VS","sexy",14,148,0.0945945945945946,0.0173913043478261,0,0
"Vogue","fall",13,315,0.0412698412698413,0.00522298111691442,0.693147180559945,0.00362029463530707
"Vogue","wintour",13,315,0.0412698412698413,0.00522298111691442,0.693147180559945,0.00362029463530707
"VS","tv",13,148,0.0878378378378378,0.0161490683229814,0.693147180559945,0.0111936811767445
"Vogue","inside",12,315,0.0380952380952381,0.00482121333869024,0.693147180559945,0.00334181043259114
"Vogue","jenner",12,315,0.0380952380952381,0.00482121333869024,0.693147180559945,0.00334181043259114
"Vogue","2017",11,315,0.0349206349206349,0.00441944556046605,0,0
"Vogue","gigi",11,315,0.0349206349206349,0.00441944556046605,0.693147180559945,0.00306332622987521
"Vogue","hadid",11,315,0.0349206349206349,0.00441944556046605,0,0
"Vogue","hot",11,315,0.0349206349206349,0.00441944556046605,0.693147180559945,0.00306332622987521
"Vogue","kendall",11,315,0.0349206349206349,0.00441944556046605,0.693147180559945,0.00306332622987521
"Vogue","paris",11,315,0.0349206349206349,0.00441944556046605,0,0
"Vogue","skin",11,315,0.0349206349206349,0.00441944556046605,0.693147180559945,0.00306332622987521
"Vogue","takes",11,315,0.0349206349206349,0.00441944556046605,0.693147180559945,0.00306332622987521
"Vogue","victoria’s",11,315,0.0349206349206349,0.00441944556046605,0,0
"VS","train",11,148,0.0743243243243243,0.0136645962732919,0,0
"Vogue","hours",10,315,0.0317460317460317,0.00401767778224186,0.693147180559945,0.00278484202715928
"Vogue","york",10,315,0.0317460317460317,0.00401767778224186,0.693147180559945,0.00278484202715928
"Vogue","24",9,315,0.0285714285714286,0.00361591000401768,0.693147180559945,0.00250635782444335
"Vogue","girls",9,315,0.0285714285714286,0.00361591000401768,0.693147180559945,0.00250635782444335
"Vogue","jessica",9,315,0.0285714285714286,0.00361591000401768,0.693147180559945,0.00250635782444335
"Vogue","makeup",9,315,0.0285714285714286,0.00361591000401768,0,0
"Vogue","sad",9,315,0.0285714285714286,0.00361591000401768,0.693147180559945,0.00250635782444335
"VS","bra",9,148,0.0608108108108108,0.0111801242236025,0,0
"VS","love",9,148,0.0608108108108108,0.0111801242236025,0,0
"Vogue","dress",8,315,0.0253968253968254,0.00321414222579349,0.693147180559945,0.00222787362172743
"Vogue","perfect",8,315,0.0253968253968254,0.00321414222579349,0.693147180559945,0.00222787362172743
"VS","episode",8,148,0.0540540540540541,0.00993788819875776,0.693147180559945,0.0068884191856889
"VS","sport",8,148,0.0540540540540541,0.00993788819875776,0.693147180559945,0.0068884191856889
"Vogue","ashley",7,315,0.0222222222222222,0.0028123744475693,0.693147180559945,0.0019493894190115
"Vogue","sarah",7,315,0.0222222222222222,0.0028123744475693,0.693147180559945,0.0019493894190115
"Vogue","taylor",7,315,0.0222222222222222,0.0028123744475693,0,0
"Vogue","tour",7,315,0.0222222222222222,0.0028123744475693,0.693147180559945,0.0019493894190115
"Vogue","wear",7,315,0.0222222222222222,0.0028123744475693,0,0
"VS","live",7,148,0.0472972972972973,0.00869565217391304,0.693147180559945,0.00602736678747779
"VS","talk",7,148,0.0472972972972973,0.00869565217391304,0.693147180559945,0.00602736678747779
"Vogue","360",6,315,0.019047619047619,0.00241060666934512,0.693147180559945,0.00167090521629557
"Vogue","5",6,315,0.019047619047619,0.00241060666934512,0,0
"Vogue","bella",6,315,0.019047619047619,0.00241060666934512,0,0
"Vogue","closet",6,315,0.019047619047619,0.00241060666934512,0.693147180559945,0.00167090521629557
"Vogue","eye",6,315,0.019047619047619,0.00241060666934512,0.693147180559945,0.00167090521629557
"Vogue","million",6,315,0.019047619047619,0.00241060666934512,0.693147180559945,0.00167090521629557
"Vogue","night",6,315,0.019047619047619,0.00241060666934512,0,0
"Vogue","parker",6,315,0.019047619047619,0.00241060666934512,0.693147180559945,0.00167090521629557
"Vogue","routine",6,315,0.019047619047619,0.00241060666934512,0.693147180559945,0.00167090521629557
"Vogue","watch",6,315,0.019047619047619,0.00241060666934512,0.693147180559945,0.00167090521629557
"Vogue","workout",6,315,0.019047619047619,0.00241060666934512,0.693147180559945,0.00167090521629557
"VS","3",6,148,0.0405405405405405,0.00745341614906832,0,0
"VS","collection",6,148,0.0405405405405405,0.00745341614906832,0.693147180559945,0.00516631438926667
"VS","teaser",6,148,0.0405405405405405,0.00745341614906832,0.693147180559945,0.00516631438926667
"Vogue","3",5,315,0.0158730158730159,0.00200883889112093,0,0
"Vogue","adriana",5,315,0.0158730158730159,0.00200883889112093,0,0
"Vogue","closets",5,315,0.0158730158730159,0.00200883889112093,0.693147180559945,0.00139242101357964
"Vogue","decade",5,315,0.0158730158730159,0.00200883889112093,0.693147180559945,0.00139242101357964
"Vogue","girl",5,315,0.0158730158730159,0.00200883889112093,0.693147180559945,0.00139242101357964
