"video_id","word","n","totalVideo","freqVideo","date","title","viewCount","likeCount","dislikeCount","commentCount","source","totalSource","freqSource","tf","idf","tf_idf"
"_u86npjGe7w","beauty",2,1,2,2016-08-22,"Bella Hadid’s Jet-Lag Beauty Survival Guide | Beauty Secrets | Vogue",6643942,100153,2457,2796,"Vogue",2423,0.000825423029302518,0.000803535556448373,-3.25809653802148,-0.00261799641464161
"EVe6zujlnvI","beauty",2,1,2,2017-04-25,"Watch This 1980s Supermodel’s Spectacular Age-Defying Beauty Routine | Beauty Secrets | Vogue",7494355,239680,3022,11920,"Vogue",2423,0.000825423029302518,0.000803535556448373,-3.25809653802148,-0.00261799641464161
"iynyZLWqjQ8","beauty",2,1,2,2016-11-09,"Ashley Graham's Red Carpet Beauty Look | Beauty Secrets | Vogue",1221057,26221,275,561,"Vogue",2423,0.000825423029302518,0.000803535556448373,-3.25809653802148,-0.00261799641464161
"rfmXkhBieXA","beauty",2,1,2,2017-08-22,"Kendall Jenner Shares Her Morning Beauty Routine | Beauty Secrets | Vogue",12808708,232136,10115,6745,"Vogue",2423,0.000825423029302518,0.000803535556448373,-3.25809653802148,-0.00261799641464161
"54P9umd87es","beauty",2,1,2,2017-09-05,"Rita Ora Does Day-to-Night Bombshell Beauty | Beauty Secrets | Vogue",1291185,25052,686,669,"Vogue",2423,0.000825423029302518,0.000803535556448373,-3.25809653802148,-0.00261799641464161
"eoganOAP_rA","vogue",2,1,2,2017-05-26,"Model Grace Hartzel Gets the Vogue Girl Look | Beauty Secrets | Vogue",1153169,21579,507,799,"Vogue",2423,0.000825423029302518,0.000803535556448373,-4.77912349311153,-0.00384019565537286
"FrBGUzdZ6PU","beauty",2,1,2,2017-01-09,"Drew Barrymore’s Genius Guide to On-the-Go Beauty | Beauty Secrets | Vogue",853656,11476,194,396,"Vogue",2423,0.000825423029302518,0.000803535556448373,-3.25809653802148,-0.00261799641464161
"GhKmxtGTcCw","vogue",2,1,2,2017-09-29,"Workin’ 9 to 5: Inside the Vogue Office! ft. Kate Upton, Elsa Hosk, Joan Smalls & More | Vogue",338820,12239,115,333,"Vogue",2423,0.000825423029302518,0.000803535556448373,-4.77912349311153,-0.00384019565537286
"GuKSrYux-Is","met",2,1,2,2018-05-08,"Cole Sprouse on Interning at the Met and His Artistic Aspirations | Met Gala 2018 With Liza Koshy",1396037,49041,162,1115,"Vogue",2423,0.000825423029302518,0.000803535556448373,-3.46573590279973,-0.00278484202715928
"qtXLBcplNJ0","makeup",2,1,2,2016-09-20,"Dree Hemingway’s Real-Girl Guide to No-Makeup Makeup | Beauty Secrets | Vogue",782196,10825,229,163,"Vogue",2423,0.000825423029302518,0.000803535556448373,-1.50407739677627,-0.00120857966796004
"symdi5KSJts","fei",2,1,2,2017-11-14,"Model Fei Fei Sun Perform Skin-Care Magic | Beauty Secrets | Vogue",1249161,24354,595,816,"Vogue",2423,0.000825423029302518,0.000803535556448373,0.693147180559945,0.000556968405431856
"iCepINjKo1s","vogue",2,1,2,2017-08-23,"Kendall Jenner, Selena Gomez, Cindy Crawford, and More Discuss Their First Vogue Covers | Vogue",416962,9500,163,794,"Vogue",2423,0.000825423029302518,0.000803535556448373,-4.77912349311153,-0.00384019565537286
"W61trr1tR3c","beauty",2,1,2,2017-06-13,"Hari Nef's 10-Step Beauty Prep for a Night Out | Beauty Secrets | Vogue",556227,13182,573,901,"Vogue",2423,0.000825423029302518,0.000803535556448373,-3.25809653802148,-0.00261799641464161
"0xER5urYjsE","vogue",2,1,2,2017-02-09,"Sarah Jessica Parker Narrates the 1950s in Vogue  | Vogue by the Decade",83611,4079,10,94,"Vogue",2423,0.000825423029302518,0.000803535556448373,-4.77912349311153,-0.00384019565537286
"ANZU0_nm7xI","beauty",2,1,2,2017-08-01,"Singer Lizzo’s Beauty Secret Is Also the Name of Her New EP | Beauty Secrets | Vogue",122504,2962,91,109,"Vogue",2423,0.000825423029302518,0.000803535556448373,-3.25809653802148,-0.00261799641464161
"e2A7qA-2JrM","gala",2,1,2,2018-05-08,"Michael B. Jordan on His High Expectations for the Met Gala | Met Gala 2018 With Liza Koshy | Vogue",822165,24852,73,1354,"Vogue",2423,0.000825423029302518,0.000803535556448373,-3.46573590279973,-0.00278484202715928
"e2A7qA-2JrM","met",2,1,2,2018-05-08,"Michael B. Jordan on His High Expectations for the Met Gala | Met Gala 2018 With Liza Koshy | Vogue",822165,24852,73,1354,"Vogue",2423,0.000825423029302518,0.000803535556448373,-3.46573590279973,-0.00278484202715928
"eE5vFvt0DN0","vogue",2,1,2,2017-02-16,"Sarah Jessica Parker Narrates the 1920s in Vogue  | Vogue by the Decade",76328,3261,13,52,"Vogue",2423,0.000825423029302518,0.000803535556448373,-4.77912349311153,-0.00384019565537286
"Zl5CpGbvaIo","gala",2,1,2,2018-05-08,"Shawn Mendes and Hailey Baldwin on Who Looks Better at the Met Gala | Met Gala 2018 With Liza Koshy",2158862,60557,868,1738,"Vogue",2423,0.000825423029302518,0.000803535556448373,-3.46573590279973,-0.00278484202715928
"Zl5CpGbvaIo","met",2,1,2,2018-05-08,"Shawn Mendes and Hailey Baldwin on Who Looks Better at the Met Gala | Met Gala 2018 With Liza Koshy",2158862,60557,868,1738,"Vogue",2423,0.000825423029302518,0.000803535556448373,-3.46573590279973,-0.00278484202715928
"aPYHa6RhEhw","vogue",2,1,2,2017-03-14,"Sarah Jessica Parker Narrates the 1960s in Vogue | Vogue by the Decade",68606,2713,19,73,"Vogue",2423,0.000825423029302518,0.000803535556448373,-4.77912349311153,-0.00384019565537286
"cR6N3g2qJJQ","gala",2,1,2,2018-05-08,"Lili Reinhart on What She Expects From Her First Met Gala | Met Gala 2018 With Liza Koshy | Vogue",1005587,26377,149,493,"Vogue",2423,0.000825423029302518,0.000803535556448373,-3.46573590279973,-0.00278484202715928
"cR6N3g2qJJQ","met",2,1,2,2018-05-08,"Lili Reinhart on What She Expects From Her First Met Gala | Met Gala 2018 With Liza Koshy | Vogue",1005587,26377,149,493,"Vogue",2423,0.000825423029302518,0.000803535556448373,-3.46573590279973,-0.00278484202715928
"hoO38nt6ejA","vogue",2,1,2,2016-11-11,"Zendaya Announces 2016 CFDA/Vogue Fashion Fund Winner | Vogue",242766,2854,44,147,"Vogue",2423,0.000825423029302518,0.000803535556448373,-4.77912349311153,-0.00384019565537286
"jFZcrADRUxc","vogue",2,1,2,2017-02-23,"Sarah Jessica Parker Narrates 1892-1900s in Vogue  | Vogue by the Decade",45631,1736,5,20,"Vogue",2423,0.000825423029302518,0.000803535556448373,-4.77912349311153,-0.00384019565537286
"k1AemRjiQH0","vogue",2,1,2,2017-03-27,"Sarah Jessica Parker Narrates the 1930s in Vogue  | Vogue by the Decade",67096,2580,15,65,"Vogue",2423,0.000825423029302518,0.000803535556448373,-4.77912349311153,-0.00384019565537286
"LDWCA7u2Gj0","gala",2,1,2,2018-05-08,"Jaden Smith on His Cozy Look for the Met Gala | Met Gala 2018 With Liza Koshy | Vogue",1085591,28138,275,705,"Vogue",2423,0.000825423029302518,0.000803535556448373,-3.46573590279973,-0.00278484202715928
"LDWCA7u2Gj0","met",2,1,2,2018-05-08,"Jaden Smith on His Cozy Look for the Met Gala | Met Gala 2018 With Liza Koshy | Vogue",1085591,28138,275,705,"Vogue",2423,0.000825423029302518,0.000803535556448373,-3.46573590279973,-0.00278484202715928
"-Rz-bttm5sE","gala",2,1,2,2017-05-03,"Priyanka Chopra Pulls an Angelina Jolie Fashion Moment at Her First Met Gala | Met Gala 2017",648466,6789,340,404,"Vogue",2423,0.000825423029302518,0.000803535556448373,-3.46573590279973,-0.00278484202715928
